Gas_Stations_Address,Latitude,Longitude,Pincode,Pincode( frst 3 characters),Latitiude of the nearest Fast Charger,Longitude of the nearest fast charger,Distance with the nearest fast EV charger
Sternbuschweg 103a · 47057 Duisburg,51.4272,6.7919933,47057,470,51.435404,6.761495,2.302693717
Elzer Straße 19 · 65556 Limburg A.D. Lahn,50.4027258,8.0435018,65556,655,50.2968102,8.2538528,19.01217887
Idsteiner Straße 50 · 65527 Niedernhausen,50.1666,8.3079951,65527,655,50.2968102,8.2538528,14.98213163
Olpener Straße 498 · 51109 Köln,50.9459101,7.0669942,51109,511,50.94013,7.02626,2.925441376
Max-Planck-Straße 81 · 40699 Erkrath,51.2003612,6.9393685,40699,406,51.215981,6.966963,2.590733217
Zeithstraße 321 · 53721 Siegburg,50.8000454,7.2118403,53721,537,50.799617,7.195785,1.129350789
Pauline-Christmann-Straße 1 · 51107 Koeln,50.9257983,7.0625075,51107,511,50.94013,7.02626,2.998670937
Rheinstraße 35 · 56424 Mogendorf,50.4885616,7.7548309,56424,564,50.447712,7.850348,8.144603874
Westerwaldstraße 8 · 56587 Oberhonnefeld-Gierend,50.5606263,7.5270599,56587,565,50.5925207,7.5304652,3.554638084
Hardt 76 · 40764 Langenfeld,51.1195,6.973796,40764,407,51.169791,6.936066,6.180538605
Rösrather Straße 521B/Lü · 51107 Köln,50.9173381,7.0902515,51107,511,50.94013,7.02626,5.151362063
Schönbornstraße 11 · 63741 Aschaffenburg,49.9951707,9.115508,63741,637,49.973467,9.150821,3.492689691
Hochdahler Straße 192 · 40724 Hilden,51.1836272,6.93904,40724,407,51.169791,6.936066,1.552420752
Stixchesstraße 123 · 51377 Leverkusen,51.0546646,7.0722379,51377,513,51.087205,7.103597,4.230019449
Berliner Straße 462 · 51061 Koeln,50.9933587,7.0325495,51061,510,51.002995,6.974744,4.184733817
Berg. Gladbacher Straße 388 · 51067 Koeln,50.96889,7.0420529,51067,510,51.002995,6.974744,6.048136487
Berliner Straße 90 · 47138 Duisburg,51.4802565,6.8085829,47138,471,51.462389,6.733861,5.5437781
Roesrather Straße 89 · 51107 Koeln,50.9210003,7.0928926,51107,511,50.94013,7.02626,5.131386649
Pleistalstraße 231 · 53757 Sankt Augustin-Birlinghoven,50.7484152,7.2231828,53757,537,50.799617,7.195785,6.010503825
Bergisch Gladbacher Straße 244 · 51063 Köln,50.9643289,7.0196575,51063,510,51.002995,6.974744,5.326386655
Flörsheimer Straße 51 · 65795 Hattersheim-Eddersheim,50.0363056,8.4663749,65795,657,50.088786,8.435463,6.238792083
Aegidienberger Straße 45 · 53604 Bad Honnef,50.6629565,7.3013751,53604,536,50.64661,7.315041,2.057178395
Oststraße 17 · 40724 Hilden,51.1770783,6.9571924,40724,407,51.169791,6.936066,1.681024631
Berg.-Gladbacher Straße 417 · 51067 Köln,50.96889,7.0420529,51067,510,51.002995,6.974744,6.048136487
Bonner Straße 2 · 51379 Leverkusen,51.0666641,6.9894817,51379,513,51.087205,7.103597,8.292961217
Frankfurter Straße 78 · 53757 Sankt Augustin,50.7835469,7.2260729,53757,537,50.799617,7.195785,2.779491658
Willy-Brandt-Ring 20 · 51373 Leverkusen,51.0230309,7.003817,51373,513,51.087205,7.103597,9.977835326
Raiffeisenstraße 17 · 56594 Willroth,50.5684387,7.5265037,56594,565,50.5925207,7.5304652,2.692365593
Moenchhofallee 8 · 65479 Raunheim,50.0340947,8.4809277,65479,654,49.992186,8.410185,6.875191672
